feed,kill,early_steps,middle_steps,late_steps,tag,early_active_fraction,middle_active_fraction,late_active_fraction,early_active_delta,late_active_delta,total_active_delta,early_edge_density,middle_edge_density,late_edge_density,early_edge_delta,late_edge_delta,total_edge_delta
0.014,0.051,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,1.1255564728289706e-10,9.681305718096793e-32,6.91516881344358e-74,-1.1255564728289706e-10,-9.681305718096793e-32,-1.1255564728289706e-10
0.018,0.051,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,2.653005502221766e-10,1.1214213365802036e-32,1.9557694529975853e-77,-2.653005502221766e-10,-1.1214213365802036e-32,-2.653005502221766e-10
0.022,0.051,700,1400,2800,reversing,0.13375,0.455,0.280625,0.32125000000000004,-0.174375,0.146875,0.0076709499700358084,0.02463236139202896,0.010012005231685897,0.01696141142199315,-0.014620356160343063,0.0023410552616500886
0.026,0.051,700,1400,2800,fading,1.0,1.0,0.0,0.0,-1.0,-1.0,0.00033890421906489373,0.0002232337224933075,2.5872424608741294e-47,-0.00011567049657158621,-0.0002232337224933075,-0.00033890421906489373
0.03,0.051,700,1400,2800,settled,1.0,1.0,1.0,0.0,0.0,0.0,2.838515445720261e-05,1.073386268818019e-07,1.2615244612823595e-12,-2.8277815830320808e-05,-1.0733736535734063e-07,-2.838515319567815e-05
0.014,0.054,700,1400,2800,settled,0.02875,0.0,0.0,-0.02875,0.0,-0.02875,0.009629835511753298,4.207489874797328e-25,1.7337797762835807e-69,-0.009629835511753298,-4.207489874797328e-25,-0.009629835511753298
0.018,0.054,700,1400,2800,fading,0.293125,0.358125,0.0,0.065,-0.358125,-0.293125,0.020194861749035408,0.022867438931170693,1.3989339786966775e-37,0.002672577182135285,-0.022867438931170693,-0.020194861749035408
0.022,0.054,700,1400,2800,growing,0.40125,0.315625,0.455,-0.085625,0.13937500000000003,0.05375000000000002,0.020362783239005706,0.01614642146947823,0.024558087516598954,-0.004216361769527475,0.008411666047120722,0.004195304277593247
0.026,0.054,700,1400,2800,settled,0.634375,0.5925,0.628125,-0.041874999999999996,0.03562500000000002,-0.006249999999999978,0.0191084280618337,0.025354062041020323,0.022078835807183457,0.006245633979186621,-0.0032752262338368657,0.0029704077453497554
0.03,0.054,700,1400,2800,fading,0.9975,0.0,0.0,-0.9975,0.0,-0.9975,0.0028807063915098855,0.0017696088773679986,2.6669926541417877e-55,-0.001111097514141887,-0.0017696088773679986,-0.0028807063915098855
0.014,0.057,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,2.2442674555258545e-20,2.0617772363262347e-43,1.7604613385765383e-89,-2.2442674555258545e-20,-2.0617772363262347e-43,-2.2442674555258545e-20
0.018,0.057,700,1400,2800,fading,0.155,0.0,0.0,-0.155,0.0,-0.155,0.018610315437184596,4.267676884587427e-13,6.833039781971139e-63,-0.01861031543675783,-4.267676884587427e-13,-0.018610315437184596
0.022,0.057,700,1400,2800,growing,0.269375,0.344375,0.331875,0.07500000000000001,-0.012500000000000011,0.0625,0.02534212172321195,0.028714004367596906,0.024180610499655596,0.0033718826443849548,-0.004533393867941309,-0.0011615112235563545
0.026,0.057,700,1400,2800,reversing,0.44625,0.36125,0.445,-0.08499999999999996,0.08374999999999999,-0.0012499999999999734,0.025287796787836197,0.025183896257982764,0.029986343932193477,-0.00010390052985343248,0.004802447674210713,0.0046985471443572804
0.03,0.057,700,1400,2800,settled,0.54625,0.5925,0.591875,0.04625000000000001,-0.0006249999999999867,0.04562500000000003,0.026600186136375242,0.025330588241847002,0.02544062450752961,-0.0012695978945282405,0.00011003626568260871,-0.0011595616288456317
0.014,0.06,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,3.8402441299849034e-23,3.668416470572197e-47,3.3499311222773735e-95,-3.8402441299849034e-23,-3.668416470572197e-47,-3.8402441299849034e-23
0.018,0.06,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,2.5534326086962435e-23,1.169946687292456e-48,2.4601526252529553e-99,-2.5534326086962435e-23,-1.169946687292456e-48,-2.5534326086962435e-23
0.022,0.06,700,1400,2800,fading,0.20375,0.203125,0.0,-0.0006249999999999867,-0.203125,-0.20375,0.01910590591186984,0.021507004282725325,4.106384669797867e-30,0.002401098370855486,-0.021507004282725325,-0.01910590591186984
0.026,0.06,700,1400,2800,growing,0.2525,0.229375,0.303125,-0.023125000000000007,0.07374999999999998,0.050624999999999976,0.022114486844257427,0.022699070023499787,0.028708665262451073,0.0005845831792423602,0.006009595238951285,0.0065941784181936455
0.03,0.06,700,1400,2800,settled,0.38375,0.368125,0.38125,-0.015625,0.013124999999999998,-0.0025000000000000022,0.024382249544635637,0.02828429368735281,0.031466967226728614,0.0039020441427171718,0.003182673539375805,0.007084717682092977
0.014,0.063,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,7.88735884121496e-25,7.73634882181628e-50,7.445418720671646e-100,-7.88735884121496e-25,-7.73634882181628e-50,-7.88735884121496e-25
0.018,0.063,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,1.2960597823338118e-25,6.040159053971776e-52,1.3124315005734236e-104,-1.2960597823338118e-25,-6.040159053971776e-52,-1.2960597823338118e-25
0.022,0.063,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,3.143967924127313e-26,6.869436643052256e-54,3.2814191765490256e-109,-3.143967924127313e-26,-6.869436643052256e-54,-3.143967924127313e-26
0.026,0.063,700,1400,2800,settled,0.0,0.0,0.0,0.0,0.0,0.0,1.8799083753586458e-26,1.8997146837423753e-55,1.941995800455669e-113,-1.8799083753586458e-26,-1.8997146837423753e-55,-1.8799083753586458e-26
0.03,0.063,700,1400,2800,growing,0.14625,0.21,0.27625,0.06375,0.06625,0.13,0.013891426949193297,0.020922574264895424,0.03056581771137215,0.007031147315702127,0.009643243446476726,0.016674390762178852
