feed,kill,mean_v,std_v,active_fraction,edge_density,peak_v
0.014,0.051,1.7100833858050674e-09,1.2149184410565587e-09,0.0,1.1255564728289706e-10,4.314238501304908e-09
0.018,0.051,3.11711993030349e-09,2.9273571952968736e-09,0.0,2.653005502221766e-10,1.0715374877938918e-08
0.022,0.051,0.07017129811680028,0.05721131563535565,0.13375,0.0076709499700358084,0.20404284407667544
0.026,0.051,0.21037425143653882,0.0013802076128846476,1.0,0.00033890421906489373,0.21335472055905108
0.03,0.051,0.24970971698117703,0.0002987774193498165,1.0,2.838515445720261e-05,0.25010885288351703
0.014,0.054,0.04536325674469605,0.04372863879108319,0.02875,0.009629835511753298,0.17812975189049868
0.018,0.054,0.10031504131625943,0.08267883579715139,0.293125,0.020194861749035408,0.2790235261309472
0.022,0.054,0.12460215329809138,0.07688312086130115,0.40125,0.020362783239005706,0.30474417996900677
0.026,0.054,0.16248041897160023,0.07417035402137455,0.634375,0.0191084280618337,0.26536522279187097
0.03,0.054,0.2211502880464765,0.012764398125922284,0.9975,0.0028807063915098855,0.24751636380663797
0.014,0.057,6.310943236792349e-19,2.2733858884684527e-19,0.0,2.2442674555258545e-20,1.1393184389294875e-18
0.018,0.057,0.06250081292761007,0.08419909040154082,0.155,0.018610315437184596,0.32480816719112626
0.022,0.057,0.10100170824180431,0.10586211402559324,0.269375,0.02534212172321195,0.3341731279825244
0.026,0.057,0.13665614895402162,0.1028473767402284,0.44625,0.025287796787836197,0.3232758606138871
0.03,0.057,0.16664075579730833,0.09899477667936742,0.54625,0.026600186136375242,0.3680051521320713
0.014,0.06,9.612039288810832e-22,3.9200690434722153e-22,0.0,3.8402441299849034e-23,1.8794511655314692e-21
0.018,0.06,6.082408105085363e-22,2.609583735991905e-22,0.0,2.5534326086962435e-23,1.2241296757240416e-21
0.022,0.06,0.0695915968658109,0.1011673328023311,0.20375,0.01910590591186984,0.35763587898929267
0.026,0.06,0.08912341702994424,0.10330865380827899,0.2525,0.022114486844257427,0.34330868495999056
0.03,0.06,0.12054805792459987,0.11302585399425594,0.38375,0.024382249544635637,0.3543274697590598
0.014,0.063,1.899386358958336e-23,8.069929659427466e-24,0.0,7.88735884121496e-25,3.8116684201208215e-23
0.018,0.063,3.007247639560872e-24,1.3281096867160331e-24,0.0,1.2960597823338118e-25,6.177089788124909e-24
0.022,0.063,6.971140294367922e-25,3.227861404876723e-25,0.0,3.143967924127313e-26,1.4743719951997832e-24
0.026,0.063,3.9038028978506736e-25,1.935419728251631e-25,0.0,1.8799083753586458e-26,8.625415742450947e-25
0.03,0.063,0.05168241260557853,0.09670220846415044,0.14625,0.013891426949193297,0.38899991283511887
